BA,Scenario,Era_One_Delta_Value,Era_Two_Delta_Value
TVA,rcp85cooler_ssp5,25.5,26.875
TVA,rcp85hotter_ssp3,23.25,62.625
TVA,rcp85hotter_ssp5,23.0,67.125
WACM,rcp45cooler_ssp3,-34.875,-41.625
WACM,rcp45cooler_ssp5,-26.5,-40.125
WACM,rcp45hotter_ssp3,-14.375,-24.125
WACM,rcp45hotter_ssp5,-11.5,-24.5
WACM,rcp85cooler_ssp3,-28.875,-20.625
WACM,rcp85cooler_ssp5,-22.625,-16.5
WACM,rcp85hotter_ssp3,-28.125,12.125
WACM,rcp85hotter_ssp5,-28.875,15.375
WALC,rcp45cooler_ssp3,12.625,17.75
WALC,rcp45cooler_ssp5,12.875,14.5
WALC,rcp45hotter_ssp3,13.75,39.75
WALC,rcp45hotter_ssp5,8.625,32.125
WALC,rcp85cooler_ssp3,7.5,29.125
WALC,rcp85cooler_ssp5,6.75,26.5
WALC,rcp85hotter_ssp3,16.375,50.375
WALC,rcp85hotter_ssp5,19.875,52.75
WAUW,rcp45cooler_ssp3,-9.5,-6.125
WAUW,rcp45cooler_ssp5,-10.625,-11.375
WAUW,rcp45hotter_ssp3,-6.625,9.875
WAUW,rcp45hotter_ssp5,-8.875,6.125
WAUW,rcp85cooler_ssp3,-6.875,7.0
WAUW,rcp85cooler_ssp5,-7.25,4.25
WAUW,rcp85hotter_ssp3,0.375,24.375
WAUW,rcp85hotter_ssp5,-0.25,22.0
