Scenario,Year,State,Total_Load_TWh,Peak_Load_MWh,Total_Load_Normalized,Peak_Load_Normalized
historic,1986.0,Utah,13.446617849999999,2248.22,0.374,0.365
historic,1986.0,Vermont,4.06722631,789.12,0.683,0.686
historic,1986.0,Virginia,61.98774083,12139.96,0.488,0.474
historic,1986.0,Washington,81.74699889,14312.13,0.757,0.754
historic,1986.0,West Virginia,21.39241052,4200.37,0.664,0.644
historic,1986.0,Wisconsin,43.11977275,7541.35,0.589,0.585
historic,1986.0,Wyoming,10.31906674,1648.3,0.63,0.628
historic,1987.0,Alabama,57.57579124,10551.97,0.612,0.596
historic,1987.0,Arizona,38.62521148,8196.85,0.431,0.404
historic,1987.0,Arkansas,25.55209964,4689.27,0.51,0.527
historic,1987.0,California,198.13290576,38691.32,0.625,0.623
historic,1987.0,Colorado,28.479149420000002,5011.82,0.469,0.457
historic,1987.0,Connecticut,25.238137690000002,4786.05,0.792,0.777
historic,1987.0,Delaware,7.77809593,1556.85,0.614,0.608
historic,1987.0,District of Columbia,9.231142,1847.69,0.704,0.697
historic,1987.0,Florida,130.939689,25562.81,0.485,0.493
historic,1987.0,Georgia,74.43275618000001,13763.88,0.495,0.484
historic,1987.0,Idaho,17.06432982,3072.19,0.647,0.62
historic,1987.0,Illinois,105.58880754,20209.67,0.697,0.688
historic,1987.0,Indiana,71.23412753,12916.03,0.677,0.669
historic,1987.0,Iowa,27.61599322,5029.71,0.533,0.548
historic,1987.0,Kansas,25.48881981,5109.93,0.559,0.603
historic,1987.0,Kentucky,60.63446028,11713.78,0.745,0.766
historic,1987.0,Louisiana,59.701042310000005,10691.86,0.627,0.635
historic,1987.0,Maine,10.70509588,2030.07,0.867,0.851
historic,1987.0,Maryland,45.866158340000005,9180.49,0.637,0.631
historic,1987.0,Massachusetts,41.90027976,7945.78,0.686,0.673
historic,1987.0,Michigan,79.17858634000001,14042.82,0.738,0.734
historic,1987.0,Minnesota,44.21783276,7835.66,0.601,0.604
historic,1987.0,Mississippi,29.94537474,5330.25,0.578,0.583
historic,1987.0,Missouri,50.55213421,9548.03,0.548,0.581
historic,1987.0,Montana,12.67663603,2072.4,0.837,0.881
historic,1987.0,Nebraska,16.57790807,3292.07,0.504,0.542
historic,1987.0,Nevada,15.07275634,3086.47,0.366,0.359
historic,1987.0,New Hampshire,8.32147606,1578.05,0.685,0.672
historic,1987.0,New Jersey,58.99287871,11747.19,0.686,0.68
historic,1987.0,New Mexico,12.71023708,2249.13,0.52,0.503
historic,1987.0,New York,120.92155836,22838.59,0.702,0.699
historic,1987.0,North Carolina,84.24101654,16708.87,0.559,0.588
historic,1987.0,North Dakota,6.41782047,1208.51,0.329,0.346
historic,1987.0,Ohio,137.93571827000002,27608.99,0.888,0.879
historic,1987.0,Oklahoma,39.29766951,7884.88,0.587,0.631
historic,1987.0,Oregon,40.7461372,7178.31,0.742,0.783
historic,1987.0,Pennsylvania,110.78657908,22172.2,0.702,0.695
historic,1987.0,Rhode Island,5.93565876,1125.61,0.699,0.686
historic,1987.0,South Carolina,52.12725263,10009.45,0.584,0.603
historic,1987.0,South Dakota,5.86981961,1092.02,0.441,0.466
historic,1987.0,Tennessee,76.47588572,14194.58,0.682,0.669
historic,1987.0,Texas,222.8275245,42639.14,0.509,0.514
historic,1987.0,Utah,14.36954132,2340.43,0.399,0.38
historic,1987.0,Vermont,4.352708219999999,825.43,0.731,0.717
historic,1987.0,Virginia,66.66920286,13289.42,0.524,0.519
historic,1987.0,Washington,86.4717106,15501.22,0.801,0.817
historic,1987.0,West Virginia,22.43769752,4491.09,0.696,0.689
historic,1987.0,Wisconsin,45.960698719999996,8073.66,0.628,0.627
historic,1987.0,Wyoming,10.974346109999999,1723.36,0.67,0.656
historic,1988.0,Alabama,60.50850268,11644.49,0.643,0.657
historic,1988.0,Arizona,41.19048857,9033.49,0.459,0.446
historic,1988.0,Arkansas,27.135271,4914.41,0.542,0.552
historic,1988.0,California,210.38464755,44377.27,0.664,0.714
historic,1988.0,Colorado,30.435412510000003,5311.75,0.501,0.485
historic,1988.0,Connecticut,26.879250879999997,5063.1,0.844,0.822
historic,1988.0,Delaware,8.232963269999999,1627.01,0.65,0.636
historic,1988.0,District of Columbia,9.77257515,1931.27,0.745,0.728
historic,1988.0,Florida,140.58499224000002,26795.13,0.521,0.517
historic,1988.0,Georgia,79.35739659999999,15296.98,0.528,0.538
historic,1988.0,Idaho,18.02066786,3269.31,0.683,0.66
historic,1988.0,Illinois,111.60925633,21088.24,0.737,0.718
historic,1988.0,Indiana,74.75856616,13486.45,0.71,0.699
historic,1988.0,Iowa,29.30542879,5281.63,0.566,0.576
historic,1988.0,Kansas,27.04927714,5365.15,0.593,0.633
historic,1988.0,Kentucky,62.890396179999996,11982.67,0.773,0.783
historic,1988.0,Louisiana,63.34860278,11300.18,0.665,0.672
historic,1988.0,Maine,11.37426499,2142.51,0.921,0.898
historic,1988.0,Maryland,48.8568941,9655.18,0.679,0.664
historic,1988.0,Massachusetts,44.7109284,8421.95,0.732,0.714
historic,1988.0,Michigan,83.15982412000001,14759.06,0.775,0.771
historic,1988.0,Minnesota,46.87468329,8306.43,0.637,0.641
historic,1988.0,Mississippi,31.824070489999997,5879.52,0.614,0.643
historic,1988.0,Missouri,53.681775990000006,10026.39,0.582,0.61
historic,1988.0,Montana,13.27136642,2114.7,0.876,0.899
historic,1988.0,Nebraska,17.66469831,3470.77,0.537,0.571
