Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2050,ERCO,9519.8,14.94,13799.28,13.82,18021.75,15.42
2050,FMPP,81.83,2.58,93.09,1.88,125.81999999999971,2.23
2050,FPC,257.8,2.71,270.54,1.72,301.98999999999796,1.66
2050,FPL,512.23,2.37,619.46,1.81,798.489999999998,2.08
2050,GCPD,97.12,9.05,113.24,8.07,129.24,8.11
2050,GVL,11.57,3.23,14.14,2.41,13.379999999999995,1.86
2050,HST,2.35,2.4,3.69,2.48,2.930000000000007,1.81
2050,IID,88.63,12.42,168.17,12.02,215.66999999999985,12.13
2050,IPCO,402.71,10.99,527.35,9.09,680.1900000000005,9.28
2050,ISNE,3756.25,16.31,4828.95,14.44,6010.409999999996,14.3
2050,JEA,73.89,3.13,91.11,2.51,151.8800000000001,3.58
2050,LDWP,726.92,13.01,981.79,11.41,1540.9799999999996,12.73
2050,LGEE,306.81,5.82,287.49,3.59,510.71999999999935,5.22
2050,MISO,17571.02,14.89,22557.88,13.66,27850.78,14.65
2050,NEVP,643.65,7.89,972.16,6.88,1318.9700000000012,7.67
2050,NSB,2.44,3.25,3.08,2.42,1.0300000000000011,0.69
2050,NWMT,244.58,13.86,284.8,13.08,325.94000000000005,12.81
2050,NYIS,3530.13,14.54,4650.36,12.89,5941.3399999999965,13.44
2050,PACE,1765.69,15.5,2179.27,14.19,2817.2299999999996,15.3
2050,PACW,414.61,9.93,483.31,9.04,537.21,8.56
2050,PGE,406.73,9.95,471.4,8.75,612.7600000000002,8.67
2050,PJM,10732.94,8.16,13804.94,6.78,19039.809999999998,7.9
2050,PNM,659.41,19.08,854.74,17.23,996.96,16.61
2050,PSCO,2135.77,20.87,2860.59,19.22,3564.0600000000013,19.23
2050,PSEI,576.06,9.15,758.48,9.5,926.3500000000004,9.74
2050,SC,130.24,2.63,120.8,1.62,33.2599999999984,0.37
2050,SCEG,123.77,2.47,115.56,1.52,78.65999999999985,0.87
2050,SCL,191.98,9.23,249.33,9.6,244.1800000000003,8.25
2050,SEC,8.38,3.37,12.97,3.44,24.359999999999957,5.14
2050,SOCO,1238.05,3.3,895.17,1.5,754.1500000000087,1.07
2050,SPA,18.05,15.82,24.6,15.49,27.039999999999992,15.03
2050,SRP,586.55,8.61,965.06,7.76,1227.0699999999997,8.19
2050,SWPP,9349.39,18.56,12597.08,16.45,15774.649999999994,16.95
2050,TAL,16.02,3.19,20.83,2.67,16.600000000000023,1.76
2050,TEC,102.94,2.72,117.72,1.96,95.22999999999956,1.38
2050,TEPC,274.43,8.3,405.64,7.21,534.6999999999998,8.01
2050,TIDC,69.18,13.35,102.13,12.08,137.31999999999994,12.02
2050,TPWR,95.52,9.26,128.79,9.67,154.8800000000001,9.74
2050,TVA,1179.49,4.07,877.02,1.97,1084.3600000000006,1.99
2050,WACM,1347.06,21.56,1606.81,20.1,1893.3600000000006,20.14
2050,WALC,224.87,11.7,299.28,11.11,377.1099999999997,12.54
2050,WAUW,21.42,15.23,26.69,13.68,32.89999999999998,13.47
